Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
case-20	q AND r	20	61	11560	10000	9	2.0703292451798918e-05
case-20	q AND r	20	61	11560	10000	10	2.1730311773717405e-05
case-20	q.toframe	20	61	11560	100	1	0.003520713392645121
case-20	q.toframe	20	61	11560	100	2	0.003514921460300684
case-20	q.toframe	20	61	11560	100	3	0.0035161665454506875
case-20	q.toframe	20	61	11560	100	4	0.003502991497516632
case-20	q.toframe	20	61	11560	100	5	0.003511207364499569
case-20	q.toframe	20	61	11560	100	6	0.0035167192481458187
case-20	q.toframe	20	61	11560	100	7	0.003509566616266966
case-20	q.toframe	20	61	11560	100	8	0.003525179624557495
case-20	q.toframe	20	61	11560	100	9	0.0035153956338763235
case-20	q.toframe	20	61	11560	100	10	0.003506910316646099
case-20	q.summary	20	61	11560	1000	1	0.00036813550628721713
case-20	q.summary	20	61	11560	1000	2	0.0003521784767508507
case-20	q.summary	20	61	11560	1000	3	0.0003518312107771635
case-20	q.summary	20	61	11560	1000	4	0.00035587629303336144
case-20	q.summary	20	61	11560	1000	5	0.0003623242899775505
case-20	q.summary	20	61	11560	1000	6	0.0003518926352262497
case-20	q.summary	20	61	11560	1000	7	0.00035196807608008383
case-20	q.summary	20	61	11560	1000	8	0.00036183706484735014
case-20	q.summary	20	61	11560	1000	9	0.00036636440828442574
case-20	q.summary	20	61	11560	1000	10	0.0003669807817786932
case-20	q.isin (distance)	20	61	11560	500	1	0.000964518565684557
case-20	q.isin (distance)	20	61	11560	500	2	0.000963059239089489
case-20	q.isin (distance)	20	61	11560	500	3	0.0009636777974665165
case-20	q.isin (distance)	20	61	11560	500	4	0.0009669912531971932
case-20	q.isin (distance)	20	61	11560	500	5	0.0009640074260532855
case-20	q.isin (distance)	20	61	11560	500	6	0.000962868183851242
case-20	q.isin (distance)	20	61	11560	500	7	0.0009681454561650753
case-20	q.isin (distance)	20	61	11560	500	8	0.0009617245905101299
case-20	q.isin (distance)	20	61	11560	500	9	0.0009612820297479629
case-20	q.isin (distance)	20	61	11560	500	10	0.0009611063823103905
case-20	q.isin (mrca)	20	61	11560	500	1	0.0005044896937906742
case-20	q.isin (mrca)	20	61	11560	500	2	0.0005050676204264164
case-20	q.isin (mrca)	20	61	11560	500	3	0.0005060727857053279
case-20	q.isin (mrca)	20	61	11560	500	4	0.0005049744099378586
case-20	q.isin (mrca)	20	61	11560	500	5	0.0005039884895086289
case-20	q.isin (mrca)	20	61	11560	500	6	0.0005043511874973774
case-20	q.isin (mrca)	20	61	11560	500	7	0.0005044559463858604
case-20	q.isin (mrca)	20	61	11560	500	8	0.0005045837201178074
case-20	q.isin (mrca)	20	61	11560	500	9	0.0005050587356090545
case-20	q.isin (mrca)	20	61	11560	500	10	0.0005038934424519539
